Unnamed: 0,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad,y
137,29,Private Sector/Self Employed,Yes,600000,4,1,Yes,No,0
604,32,Government Sector,Yes,350000,7,0,No,No,0
79,31,Government Sector,No,400000,5,1,No,No,0
1351,28,Private Sector/Self Employed,Yes,1100000,4,0,No,No,0
840,28,Private Sector/Self Employed,Yes,1100000,3,0,No,No,1
991,30,Private Sector/Self Employed,No,1450000,7,0,Yes,Yes,1
40,25,Private Sector/Self Employed,Yes,1400000,3,1,Yes,Yes,1
295,28,Private Sector/Self Employed,Yes,550000,5,0,No,No,0
60,31,Private Sector/Self Employed,Yes,1250000,4,0,Yes,Yes,0
1495,29,Private Sector/Self Employed,Yes,600000,4,0,No,No,1
1099,35,Private Sector/Self Employed,No,800000,6,0,No,No,1
1339,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1881,34,Private Sector/Self Employed,Yes,1300000,4,0,No,No,1
1827,32,Government Sector,Yes,800000,5,1,Yes,No,1
202,28,Private Sector/Self Employed,Yes,600000,7,0,No,No,1
1437,30,Private Sector/Self Employed,No,500000,7,0,No,No,1
947,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
1020,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
1824,28,Private Sector/Self Employed,Yes,800000,4,1,Yes,No,0
1473,29,Private Sector/Self Employed,Yes,1050000,6,0,No,No,0
1226,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1870,25,Private Sector/Self Employed,Yes,1700000,3,0,Yes,No,1
1557,32,Government Sector,Yes,800000,7,0,No,No,0
1834,31,Private Sector/Self Employed,Yes,1100000,4,0,Yes,No,0
1520,28,Government Sector,Yes,600000,4,1,No,No,0
1364,29,Private Sector/Self Employed,Yes,350000,6,1,No,No,0
1289,28,Private Sector/Self Employed,Yes,800000,2,0,No,No,0
1501,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
479,34,Government Sector,Yes,1300000,4,1,No,No,0
400,29,Private Sector/Self Employed,Yes,1200000,4,0,Yes,No,0
1389,25,Private Sector/Self Employed,No,1150000,6,0,No,No,1
573,27,Private Sector/Self Employed,No,350000,3,0,No,No,0
1971,31,Private Sector/Self Employed,Yes,950000,5,0,No,No,0
892,29,Private Sector/Self Employed,Yes,1050000,4,0,No,No,0
85,25,Private Sector/Self Employed,No,1700000,4,0,Yes,No,1
1880,27,Government Sector,Yes,1050000,4,1,No,No,1
1615,30,Private Sector/Self Employed,No,650000,5,0,No,No,0
849,34,Government Sector,Yes,1300000,4,0,No,No,0
1754,30,Private Sector/Self Employed,No,1450000,4,1,Yes,Yes,1
1984,28,Private Sector/Self Employed,Yes,1150000,6,1,No,No,0
1558,32,Government Sector,Yes,800000,5,0,No,No,0
808,34,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,1
1530,26,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
1262,27,Government Sector,Yes,500000,4,0,No,No,1
1722,34,Private Sector/Self Employed,Yes,1500000,3,1,Yes,Yes,1
853,31,Government Sector,Yes,400000,6,1,No,No,0
836,28,Private Sector/Self Employed,Yes,1450000,4,0,Yes,Yes,1
1676,27,Government Sector,Yes,1050000,7,0,No,No,1
1723,32,Government Sector,Yes,800000,6,0,Yes,No,0
1164,31,Private Sector/Self Employed,Yes,1400000,6,0,No,Yes,1
75,34,Private Sector/Self Employed,Yes,1300000,5,0,No,No,0
255,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
164,28,Government Sector,Yes,300000,6,0,No,No,0
227,34,Private Sector/Self Employed,Yes,1300000,6,1,No,No,0
1788,26,Private Sector/Self Employed,Yes,1750000,3,0,No,No,0
1933,28,Private Sector/Self Employed,Yes,550000,4,1,Yes,No,0
497,28,Private Sector/Self Employed,Yes,1200000,5,0,Yes,No,1
1178,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,1
796,28,Government Sector,Yes,300000,7,0,No,No,0
541,29,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1849,28,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0
280,32,Government Sector,Yes,800000,6,0,Yes,No,0
1470,33,Government Sector,Yes,1100000,4,0,No,No,0
1475,28,Government Sector,Yes,300000,4,0,No,No,0
1084,29,Private Sector/Self Employed,Yes,1050000,4,0,No,No,0
856,34,Private Sector/Self Employed,Yes,700000,7,0,No,No,1
1498,33,Government Sector,Yes,600000,4,0,No,No,0
552,27,Government Sector,Yes,1050000,4,0,No,No,0
1431,25,Private Sector/Self Employed,No,1150000,6,0,No,No,1
1869,31,Government Sector,Yes,1500000,2,0,Yes,Yes,1
293,31,Private Sector/Self Employed,Yes,1250000,3,0,No,No,1
1889,31,Government Sector,Yes,1300000,6,0,No,No,0
299,27,Private Sector/Self Employed,No,450000,3,0,No,No,0
757,27,Government Sector,Yes,500000,6,1,No,No,0
971,34,Private Sector/Self Employed,Yes,1050000,6,0,No,Yes,1
140,28,Private Sector/Self Employed,Yes,550000,4,1,No,No,0
688,33,Government Sector,Yes,400000,5,1,No,No,0
73,28,Private Sector/Self Employed,Yes,750000,7,0,Yes,No,0
948,29,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
954,34,Private Sector/Self Employed,Yes,1000000,5,1,Yes,No,0
274,32,Government Sector,Yes,850000,7,0,No,No,1
483,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,0
1697,29,Private Sector/Self Employed,Yes,1050000,5,0,No,No,0
1207,26,Private Sector/Self Employed,Yes,450000,6,0,No,No,0
1717,34,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1
493,29,Private Sector/Self Employed,Yes,1050000,7,0,No,No,0
1070,33,Government Sector,Yes,800000,5,1,No,No,0
1667,28,Private Sector/Self Employed,Yes,750000,5,0,No,No,0
1160,29,Private Sector/Self Employed,Yes,1050000,3,1,No,No,0
29,31,Private Sector/Self Employed,Yes,900000,3,0,No,No,0
1755,34,Private Sector/Self Employed,Yes,850000,5,1,No,No,0
1172,28,Private Sector/Self Employed,Yes,900000,4,1,No,No,1
489,30,Private Sector/Self Employed,No,800000,9,0,No,No,0
396,33,Government Sector,Yes,650000,6,1,No,No,1
1472,28,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1043,30,Private Sector/Self Employed,No,500000,8,0,No,No,0
616,27,Government Sector,Yes,750000,7,1,No,Yes,0
1805,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
1019,27,Government Sector,Yes,850000,4,1,Yes,Yes,1
731,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0
1726,34,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,1
1847,28,Government Sector,Yes,1200000,3,0,No,No,1
474,31,Private Sector/Self Employed,Yes,1100000,3,1,Yes,No,0
1833,29,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1101,34,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
648,28,Private Sector/Self Employed,Yes,800000,4,0,No,No,0
95,26,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
851,28,Private Sector/Self Employed,Yes,500000,5,0,No,No,1
290,32,Government Sector,Yes,900000,6,1,No,No,0
392,31,Private Sector/Self Employed,Yes,950000,4,1,No,No,1
915,28,Government Sector,Yes,600000,2,0,Yes,No,0
186,28,Private Sector/Self Employed,Yes,500000,9,0,No,No,1
1457,25,Private Sector/Self Employed,No,600000,3,0,No,No,1
33,32,Government Sector,Yes,850000,3,0,No,No,0
561,29,Private Sector/Self Employed,Yes,1050000,9,0,No,No,0
241,35,Private Sector/Self Employed,No,800000,6,0,No,No,1
1132,34,Government Sector,Yes,1300000,4,0,No,No,1
1782,34,Private Sector/Self Employed,Yes,850000,4,0,No,No,0
609,28,Private Sector/Self Employed,Yes,700000,7,1,Yes,Yes,1
476,33,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,1
1241,33,Government Sector,Yes,1100000,8,0,No,No,1
1291,34,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1
1664,25,Private Sector/Self Employed,No,1150000,4,0,Yes,No,0
1204,28,Private Sector/Self Employed,Yes,800000,3,1,No,No,1
1285,26,Government Sector,Yes,500000,4,0,No,No,0
929,26,Private Sector/Self Employed,Yes,600000,5,0,No,No,1
1546,30,Private Sector/Self Employed,No,550000,2,1,No,No,0
1128,33,Government Sector,Yes,700000,4,0,No,No,0
945,28,Private Sector/Self Employed,Yes,1200000,9,0,No,No,0
930,34,Private Sector/Self Employed,Yes,700000,7,1,No,No,1
1594,25,Private Sector/Self Employed,Yes,1400000,5,1,No,Yes,1
201,31,Private Sector/Self Employed,Yes,1400000,2,0,No,Yes,1
1670,34,Private Sector/Self Employed,Yes,1050000,8,1,No,No,1
1304,34,Private Sector/Self Employed,Yes,1050000,5,0,No,No,1
118,31,Government Sector,Yes,1500000,4,1,Yes,Yes,1
1082,29,Private Sector/Self Employed,Yes,1200000,8,1,No,No,0
1639,25,Private Sector/Self Employed,Yes,1700000,4,0,Yes,No,1
1685,28,Private Sector/Self Employed,Yes,750000,5,1,Yes,No,0
1790,28,Private Sector/Self Employed,Yes,1150000,4,0,No,No,0
831,27,Government Sector,Yes,1050000,6,1,No,No,0
460,25,Private Sector/Self Employed,No,1350000,6,0,No,Yes,1
93,33,Government Sector,Yes,700000,7,0,Yes,No,1
1035,34,Private Sector/Self Employed,Yes,1300000,3,0,No,No,0
568,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
243,26,Private Sector/Self Employed,Yes,750000,6,0,No,No,0
231,31,Government Sector,Yes,1200000,5,1,No,No,0
1161,28,Private Sector/Self Employed,Yes,600000,3,0,No,No,1
1532,28,Government Sector,Yes,1200000,5,0,No,No,0
108,26,Private Sector/Self Employed,Yes,1300000,4,0,No,No,1
1122,34,Private Sector/Self Employed,Yes,700000,5,0,Yes,No,1
247,27,Government Sector,Yes,1050000,3,0,Yes,No,1
229,34,Private Sector/Self Employed,Yes,1000000,2,0,No,No,0
469,25,Private Sector/Self Employed,No,1700000,5,0,Yes,No,1
1059,32,Government Sector,Yes,350000,4,0,No,No,0
1484,28,Private Sector/Self Employed,Yes,800000,4,1,No,No,0
636,25,Private Sector/Self Employed,Yes,1400000,4,0,No,Yes,1
429,32,Government Sector,Yes,350000,2,0,No,No,0
259,33,Government Sector,Yes,400000,3,1,No,No,1
511,31,Private Sector/Self Employed,Yes,1250000,3,0,No,Yes,0
543,34,Private Sector/Self Employed,Yes,850000,3,1,No,No,0
1630,31,Private Sector/Self Employed,Yes,900000,4,1,No,No,1
893,31,Government Sector,Yes,400000,2,0,No,No,0
763,28,Government Sector,Yes,600000,4,1,No,No,0
829,26,Private Sector/Self Employed,Yes,600000,5,0,No,No,0
1760,34,Private Sector/Self Employed,Yes,1500000,3,0,Yes,Yes,1
1316,31,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
1236,28,Government Sector,Yes,600000,3,0,No,No,0
1703,31,Private Sector/Self Employed,Yes,900000,5,1,No,No,0
649,28,Government Sector,Yes,300000,5,0,No,No,0
1905,25,Private Sector/Self Employed,No,600000,4,1,Yes,No,0
1924,33,Private Sector/Self Employed,Yes,750000,3,1,No,No,0
20,28,Private Sector/Self Employed,Yes,1150000,6,0,Yes,No,0
1426,26,Government Sector,Yes,500000,6,1,No,No,0
1821,25,Private Sector/Self Employed,No,1350000,5,1,No,Yes,1
1871,34,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
1935,33,Government Sector,Yes,1000000,6,0,Yes,No,0
1578,27,Government Sector,Yes,500000,6,1,No,No,0
343,28,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0
1507,27,Government Sector,Yes,750000,5,0,No,No,0
1239,34,Private Sector/Self Employed,Yes,1500000,6,1,Yes,Yes,1
1260,30,Private Sector/Self Employed,No,550000,4,0,No,No,0
1092,31,Government Sector,Yes,1500000,7,0,Yes,Yes,1
245,28,Private Sector/Self Employed,Yes,1150000,3,0,No,No,0
1096,30,Private Sector/Self Employed,No,1450000,7,1,Yes,Yes,1
1768,28,Private Sector/Self Employed,Yes,650000,3,0,No,No,0
1540,34,Government Sector,Yes,1100000,4,0,No,No,0
491,28,Private Sector/Self Employed,Yes,1100000,4,1,No,No,1
1854,34,Government Sector,Yes,1300000,5,0,Yes,No,1
1293,28,Government Sector,Yes,300000,6,1,No,No,0
682,26,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1
1951,27,Private Sector/Self Employed,No,600000,4,0,No,No,0
1142,27,Government Sector,Yes,750000,6,0,No,No,0
1025,31,Government Sector,Yes,1300000,4,1,No,No,1
426,25,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
94,34,Private Sector/Self Employed,Yes,1300000,4,0,No,No,0
1616,27,Government Sector,Yes,500000,2,0,No,No,1
1162,34,Private Sector/Self Employed,No,1400000,4,0,No,Yes,1
1185,33,Government Sector,Yes,400000,4,0,No,No,0
150,28,Private Sector/Self Employed,Yes,650000,2,1,No,No,1
637,34,Private Sector/Self Employed,Yes,1300000,5,1,No,No,0
663,32,Government Sector,Yes,800000,6,1,No,No,1
155,34,Private Sector/Self Employed,Yes,1300000,6,0,No,No,1
1392,27,Government Sector,Yes,1050000,2,0,No,No,1
675,27,Private Sector/Self Employed,No,350000,3,0,No,No,0
961,28,Government Sector,No,300000,6,1,No,No,0
1917,34,Private Sector/Self Employed,No,1300000,4,0,No,No,1
1449,29,Private Sector/Self Employed,Yes,1100000,4,1,No,No,0
1661,28,Private Sector/Self Employed,Yes,700000,4,0,No,No,0
974,26,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
498,29,Private Sector/Self Employed,Yes,600000,5,0,No,No,0
1583,28,Government Sector,Yes,300000,6,0,No,No,0
703,27,Government Sector,Yes,500000,6,0,No,No,0
72,28,Private Sector/Self Employed,Yes,800000,6,1,Yes,No,0
639,31,Private Sector/Self Employed,Yes,1250000,5,1,Yes,No,0
1581,33,Private Sector/Self Employed,Yes,550000,6,0,No,No,1
336,32,Government Sector,Yes,350000,9,1,No,No,0
333,31,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,0
1512,28,Private Sector/Self Employed,Yes,500000,3,0,No,No,0
787,34,Private Sector/Self Employed,Yes,1000000,4,0,No,No,0
1751,28,Government Sector,Yes,300000,5,0,No,No,0
1860,28,Private Sector/Self Employed,Yes,550000,8,0,No,No,0
1731,31,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
973,26,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
1614,34,Government Sector,Yes,1300000,4,0,No,No,1
1574,28,Private Sector/Self Employed,No,550000,7,0,No,No,0
257,33,Private Sector/Self Employed,Yes,550000,5,0,No,No,1
1910,28,Private Sector/Self Employed,Yes,1150000,7,0,No,No,0
652,33,Government Sector,Yes,800000,6,0,No,No,1
956,25,Private Sector/Self Employed,No,1700000,5,0,Yes,No,1
6,31,Government Sector,Yes,1300000,4,0,No,No,0
600,34,Private Sector/Self Employed,Yes,1500000,4,1,Yes,Yes,1
423,25,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
415,28,Government Sector,Yes,600000,5,0,No,No,0
722,33,Government Sector,Yes,400000,8,0,No,No,1
1573,33,Government Sector,Yes,650000,4,1,No,No,0
1750,28,Private Sector/Self Employed,Yes,700000,5,0,No,No,0
1306,28,Private Sector/Self Employed,Yes,700000,5,1,No,No,0
737,28,Private Sector/Self Employed,Yes,700000,4,1,No,No,1
1168,28,Government Sector,Yes,600000,3,0,No,No,0
888,28,Private Sector/Self Employed,Yes,1250000,6,1,No,No,0
1919,28,Government Sector,Yes,300000,6,0,No,No,0
404,33,Government Sector,Yes,650000,5,1,No,No,1
953,29,Private Sector/Self Employed,Yes,1750000,6,0,No,No,0
887,28,Government Sector,Yes,600000,4,0,No,No,0
1413,28,Private Sector/Self Employed,Yes,1150000,6,0,No,No,0
1093,26,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1804,28,Private Sector/Self Employed,Yes,1100000,5,0,No,No,0
1580,28,Private Sector/Self Employed,Yes,1200000,5,1,Yes,No,0
1469,28,Government Sector,Yes,300000,6,0,No,No,0
564,29,Private Sector/Self Employed,Yes,900000,6,1,No,No,0
1081,26,Government Sector,Yes,1450000,5,0,Yes,Yes,1
1167,34,Private Sector/Self Employed,Yes,1050000,4,0,No,No,0
786,29,Private Sector/Self Employed,Yes,500000,2,0,No,No,0
1894,28,Private Sector/Self Employed,Yes,700000,4,1,No,No,0
1356,30,Private Sector/Self Employed,No,550000,3,0,Yes,Yes,0
555,26,Private Sector/Self Employed,Yes,1750000,4,0,No,No,0
1873,34,Private Sector/Self Employed,Yes,1000000,3,0,No,No,0
1710,31,Private Sector/Self Employed,Yes,1350000,4,0,No,Yes,1
1567,33,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
1803,33,Private Sector/Self Employed,Yes,1400000,5,0,No,Yes,1
626,28,Private Sector/Self Employed,Yes,1100000,6,0,Yes,No,0
327,34,Government Sector,Yes,1300000,3,0,No,No,0
307,28,Private Sector/Self Employed,Yes,1150000,8,1,No,No,0
926,34,Private Sector/Self Employed,Yes,700000,5,0,No,No,1
792,28,Private Sector/Self Employed,Yes,750000,6,0,Yes,No,0
838,29,Private Sector/Self Employed,Yes,1100000,5,0,Yes,No,0
154,28,Private Sector/Self Employed,Yes,700000,4,0,Yes,No,0
711,34,Private Sector/Self Employed,Yes,1000000,8,0,No,No,1
149,28,Private Sector/Self Employed,Yes,800000,5,1,No,No,0
324,28,Government Sector,Yes,300000,5,0,No,No,0
825,29,Private Sector/Self Employed,Yes,900000,7,0,No,No,1
218,26,Private Sector/Self Employed,Yes,1500000,7,0,Yes,Yes,0
74,28,Private Sector/Self Employed,Yes,700000,4,1,No,No,0
1115,34,Private Sector/Self Employed,Yes,700000,2,0,No,No,0
292,27,Government Sector,Yes,850000,4,0,No,No,0
354,25,Private Sector/Self Employed,No,1150000,5,0,No,No,1
746,27,Government Sector,Yes,500000,3,1,No,No,0
651,33,Private Sector/Self Employed,Yes,1400000,8,1,No,Yes,1
141,25,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,0
850,32,Government Sector,Yes,850000,4,0,Yes,No,0
921,33,Government Sector,Yes,400000,4,0,No,No,0
630,28,Private Sector/Self Employed,Yes,1100000,9,0,No,No,0
739,33,Private Sector/Self Employed,Yes,550000,4,0,No,No,1
1912,34,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
1949,34,Private Sector/Self Employed,Yes,700000,6,0,No,No,1
320,35,Private Sector/Self Employed,No,800000,5,0,No,No,0
21,29,Private Sector/Self Employed,Yes,350000,3,0,No,No,1
1404,34,Private Sector/Self Employed,Yes,1000000,6,0,No,No,1
509,28,Private Sector/Self Employed,Yes,1450000,6,0,Yes,Yes,1
1937,34,Private Sector/Self Employed,Yes,500000,5,0,Yes,Yes,0
705,27,Government Sector,Yes,850000,5,1,No,No,0
191,30,Private Sector/Self Employed,No,650000,3,0,No,Yes,0
1851,28,Private Sector/Self Employed,No,550000,6,0,No,No,1
1931,34,Private Sector/Self Employed,Yes,1300000,4,1,No,No,0
1245,26,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
461,35,Government Sector,Yes,900000,4,1,No,No,1
1332,29,Private Sector/Self Employed,Yes,1200000,4,0,No,No,0
1608,26,Private Sector/Self Employed,Yes,1500000,6,0,Yes,Yes,1
210,28,Private Sector/Self Employed,Yes,1200000,5,1,Yes,No,0
502,28,Government Sector,Yes,300000,4,1,No,No,1
602,34,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
525,26,Private Sector/Self Employed,Yes,500000,9,0,No,No,0
419,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
1810,27,Private Sector/Self Employed,No,350000,4,0,No,No,0
1959,28,Private Sector/Self Employed,No,550000,6,0,No,No,0
1263,28,Government Sector,Yes,600000,7,1,No,No,0
911,27,Government Sector,Yes,1050000,5,0,Yes,No,0
1046,33,Government Sector,Yes,400000,5,1,No,No,0
631,33,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,1
1213,25,Government Sector,Yes,750000,2,0,No,Yes,1
34,28,Private Sector/Self Employed,Yes,800000,9,0,No,No,1
260,26,Private Sector/Self Employed,Yes,1400000,3,1,No,Yes,1
1625,28,Government Sector,Yes,300000,3,1,No,No,1
342,28,Private Sector/Self Employed,Yes,1100000,2,0,No,No,1
1589,25,Private Sector/Self Employed,Yes,1400000,4,0,Yes,Yes,1
162,34,Private Sector/Self Employed,Yes,500000,7,0,No,No,1
1644,28,Private Sector/Self Employed,Yes,1100000,7,0,No,No,1
589,26,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
125,29,Private Sector/Self Employed,Yes,500000,3,1,No,No,1
1445,28,Private Sector/Self Employed,Yes,1100000,4,1,No,No,0
1642,31,Private Sector/Self Employed,Yes,1250000,7,0,No,No,0
1511,26,Private Sector/Self Employed,Yes,1300000,5,0,No,No,0
355,28,Private Sector/Self Employed,Yes,1400000,3,0,No,Yes,1
1090,29,Private Sector/Self Employed,Yes,1100000,5,1,No,No,0
242,33,Government Sector,Yes,400000,4,0,No,No,0
585,34,Private Sector/Self Employed,No,1400000,7,1,No,Yes,1
736,30,Private Sector/Self Employed,No,650000,7,0,No,No,0
19,34,Private Sector/Self Employed,Yes,1500000,2,0,Yes,Yes,1
1418,30,Private Sector/Self Employed,No,800000,4,0,No,No,1
464,34,Private Sector/Self Employed,Yes,1500000,5,0,Yes,Yes,1
914,32,Government Sector,Yes,800000,6,1,No,No,0
1909,28,Government Sector,No,300000,4,1,No,No,0
533,29,Private Sector/Self Employed,Yes,600000,3,0,No,No,0
908,34,Private Sector/Self Employed,Yes,1300000,3,0,No,Yes,0
925,30,Private Sector/Self Employed,No,800000,3,0,No,No,0
1343,26,Private Sector/Self Employed,Yes,1500000,5,1,Yes,Yes,1
1015,26,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,1
82,28,Private Sector/Self Employed,Yes,1250000,4,1,No,No,0
591,25,Private Sector/Self Employed,No,1150000,3,1,No,No,0
1350,33,Government Sector,Yes,700000,3,1,No,No,1
806,30,Private Sector/Self Employed,No,550000,5,0,No,No,0
1817,29,Private Sector/Self Employed,Yes,1050000,7,0,Yes,No,1
1359,32,Government Sector,Yes,850000,9,0,Yes,No,1
499,32,Government Sector,Yes,350000,6,0,No,No,0
695,28,Private Sector/Self Employed,Yes,1150000,7,0,No,No,0
1135,28,Private Sector/Self Employed,Yes,1100000,7,1,No,No,1
1555,26,Private Sector/Self Employed,Yes,1400000,9,1,No,Yes,1
308,34,Private Sector/Self Employed,Yes,1000000,9,1,No,No,0
1072,31,Government Sector,Yes,400000,6,0,No,No,0
597,34,Private Sector/Self Employed,Yes,1000000,4,0,No,No,0
1679,28,Private Sector/Self Employed,Yes,550000,4,0,No,No,0
1324,33,Government Sector,Yes,400000,9,1,No,No,1
275,26,Private Sector/Self Employed,Yes,1400000,4,1,No,Yes,1
482,32,Government Sector,Yes,850000,9,0,No,No,0
131,28,Private Sector/Self Employed,Yes,750000,4,0,No,No,0
1083,25,Private Sector/Self Employed,No,1150000,8,0,No,No,0
1773,28,Private Sector/Self Employed,Yes,500000,4,0,No,No,0
360,28,Private Sector/Self Employed,No,550000,4,0,No,No,0
1502,28,Private Sector/Self Employed,Yes,750000,6,1,No,No,0
1518,31,Private Sector/Self Employed,Yes,1250000,6,0,No,No,1
1063,28,Private Sector/Self Employed,Yes,1200000,6,0,No,No,0
261,28,Private Sector/Self Employed,Yes,1100000,4,1,No,No,1
1774,32,Government Sector,Yes,350000,5,0,No,No,0
664,34,Private Sector/Self Employed,Yes,1500000,4,0,Yes,Yes,1
1539,33,Private Sector/Self Employed,Yes,550000,7,1,Yes,No,1
166,28,Private Sector/Self Employed,Yes,800000,7,0,No,No,0
1012,29,Private Sector/Self Employed,Yes,1200000,5,0,No,No,0
1191,25,Private Sector/Self Employed,No,1150000,5,1,No,No,0
809,30,Private Sector/Self Employed,No,1450000,5,1,Yes,Yes,1
942,25,Private Sector/Self Employed,Yes,500000,6,0,No,No,0
397,25,Government Sector,Yes,750000,5,0,No,No,0
1781,29,Private Sector/Self Employed,Yes,600000,5,1,No,No,0
801,31,Private Sector/Self Employed,Yes,500000,4,1,No,No,1
76,29,Private Sector/Self Employed,Yes,1200000,3,0,No,No,1
647,34,Private Sector/Self Employed,No,1300000,5,0,Yes,No,1
189,26,Private Sector/Self Employed,Yes,1400000,7,1,No,Yes,1
1367,27,Government Sector,Yes,850000,5,0,No,No,1
828,34,Private Sector/Self Employed,Yes,1000000,6,1,No,No,1
1856,26,Private Sector/Self Employed,Yes,600000,3,0,Yes,No,0
393,29,Private Sector/Self Employed,Yes,1050000,3,0,Yes,No,0
766,34,Private Sector/Self Employed,Yes,700000,3,1,No,No,0
819,28,Private Sector/Self Employed,Yes,1150000,4,1,No,No,0
784,31,Government Sector,Yes,1500000,5,1,Yes,Yes,1
990,29,Private Sector/Self Employed,Yes,600000,4,0,Yes,No,1
1786,31,Private Sector/Self Employed,Yes,950000,4,0,No,No,0
193,34,Private Sector/Self Employed,No,1300000,5,1,No,No,0
1836,33,Government Sector,Yes,800000,4,0,No,No,0
145,28,Private Sector/Self Employed,Yes,1150000,6,0,No,No,0
708,34,Private Sector/Self Employed,Yes,1000000,3,0,No,No,0
124,32,Government Sector,Yes,350000,4,1,No,No,0
1680,31,Government Sector,Yes,1300000,8,0,No,No,0
714,28,Government Sector,Yes,300000,4,0,No,No,0
224,31,Private Sector/Self Employed,Yes,1100000,5,0,Yes,No,0
830,34,Private Sector/Self Employed,Yes,1050000,6,0,No,No,1
1183,29,Private Sector/Self Employed,Yes,1100000,4,1,No,No,0
1610,33,Private Sector/Self Employed,Yes,550000,5,0,Yes,No,0
1483,28,Government Sector,Yes,300000,3,1,No,No,0
402,31,Private Sector/Self Employed,Yes,1250000,3,0,No,No,0
348,31,Private Sector/Self Employed,Yes,1400000,6,1,No,Yes,0
1145,28,Private Sector/Self Employed,Yes,500000,5,0,No,No,0
1523,27,Government Sector,Yes,750000,5,0,No,No,0
1985,34,Private Sector/Self Employed,Yes,1000000,6,0,Yes,Yes,1
183,25,Private Sector/Self Employed,No,1700000,3,1,Yes,No,0
510,31,Private Sector/Self Employed,Yes,950000,5,0,No,No,0
1591,28,Government Sector,Yes,300000,3,0,No,No,0
1714,27,Government Sector,Yes,500000,2,0,No,No,0
595,25,Private Sector/Self Employed,No,1150000,5,1,Yes,No,0
1759,25,Government Sector,Yes,750000,2,0,Yes,No,0
734,34,Private Sector/Self Employed,Yes,1050000,7,0,No,No,1
980,28,Government Sector,Yes,300000,8,0,No,No,0
820,25,Private Sector/Self Employed,No,1150000,4,0,No,No,0
501,31,Private Sector/Self Employed,Yes,1250000,3,0,No,No,0
111,28,Private Sector/Self Employed,Yes,800000,5,0,No,No,0
580,31,Private Sector/Self Employed,Yes,1250000,4,0,No,No,0
1292,33,Government Sector,Yes,650000,9,1,No,No,0
531,28,Private Sector/Self Employed,Yes,1150000,6,1,No,No,0
1428,34,Private Sector/Self Employed,Yes,1300000,7,0,No,No,1
329,28,Private Sector/Self Employed,Yes,1100000,8,0,No,No,0
1133,35,Government Sector,Yes,1100000,3,1,No,No,1
1268,33,Government Sector,Yes,1000000,5,0,No,Yes,1
69,31,Government Sector,No,300000,4,0,No,No,0
77,31,Government Sector,No,400000,4,0,No,No,0
862,28,Government Sector,Yes,300000,3,1,No,No,0
1288,28,Private Sector/Self Employed,Yes,750000,3,0,No,No,0
7,31,Private Sector/Self Employed,Yes,1350000,3,0,Yes,Yes,1
